id,recorded_at,session_id,page_slug,event_type,event_label,country,page_url,referrer,user_agent,event_data,event_timestamp
27294,2025-12-06 23:22:37.369664+00,sess_miux5dao_fm5fbddv,/home,system,page_drawn,GB,"http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/?page=bubblechart&pollutant_id=5&category_ids=20,37&year=2023",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""screen_size"":""1710x1107"",""viewport_size"":""998x947"",""client_timestamp"":""2025-12-06T23:22:35.280Z""}",2025-12-06 23:22:35.28+00
27295,2025-12-06 23:22:37.613649+00,sess_miux5dao_fm5fbddv,/linechart,system,page_drawn,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/linechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""screen_size"":""1710x1107"",""viewport_size"":""998x1200"",""client_timestamp"":""2025-12-06T23:22:35.534Z""}",2025-12-06 23:22:35.534+00
27296,2025-12-06 23:22:37.61333+00,sess_miux5dao_fm5fbddv,/bubblechart,system,page_drawn,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/bubblechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""screen_size"":""1710x1107"",""viewport_size"":""998x1100"",""client_timestamp"":""2025-12-06T23:22:35.521Z""}",2025-12-06 23:22:35.521+00
27297,2025-12-06 23:22:37.613649+00,sess_miux5dao_fm5fbddv,/linechart,system,sbase_data_queried,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/linechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""page"":""linechart"",""timestamp"":""2025-12-06T23:22:35.534Z"",""hasUrlOverrides"":false,""client_timestamp"":""2025-12-06T23:22:35.534Z"",""snapshotEligible"":true,""sharedLoaderAvailable"":true}",2025-12-06 23:22:35.534+00
27298,2025-12-06 23:22:37.613649+00,sess_miux5dao_fm5fbddv,/linechart,system,json_data_loaded,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/linechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""page"":""linechart"",""rows"":5,""categories"":70,""durationMs"":3.7,""pollutants"":68,""generatedAt"":""2025-12-02T01:09:50.343Z"",""client_timestamp"":""2025-12-06T23:22:35.538Z""}",2025-12-06 23:22:35.538+00
27299,2025-12-06 23:22:37.613649+00,sess_miux5dao_fm5fbddv,/linechart,system,linechart_drawn,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/linechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""end_year"":2023,""pollutant"":""PM2.5"",""categories"":[""All""],""start_year"":1970,""year_range"":54,""categories_count"":1,""client_timestamp"":""2025-12-06T23:22:35.699Z""}",2025-12-06 23:22:35.699+00
27300,2025-12-06 23:22:37.61333+00,sess_miux5dao_fm5fbddv,/bubblechart,system,sbase_data_queried,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/bubblechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""page"":""bubble_chart"",""timestamp"":""2025-12-06T23:22:35.522Z"",""hasUrlOverrides"":false,""client_timestamp"":""2025-12-06T23:22:35.522Z"",""snapshotEligible"":true,""inactiveChartMode"":true,""sharedLoaderAvailable"":true}",2025-12-06 23:22:35.522+00
27301,2025-12-06 23:22:37.61333+00,sess_miux5dao_fm5fbddv,/bubblechart,system,json_data_loaded,GB,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/bubblechart/index.html,http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""page"":""bubble_chart"",""rows"":5,""categories"":70,""durationMs"":15.7,""pollutants"":68,""generatedAt"":""2025-12-02T01:09:50.343Z"",""client_timestamp"":""2025-12-06T23:22:35.538Z""}",2025-12-06 23:22:35.538+00
27302,2025-12-06 23:22:37.61333+00,sess_miux5dao_fm5fbddv,/bubblechart,interaction,bubblechart_seen,GB,"http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/bubblechart/index.html?pollutant_id=5&category_ids=20,37&year=2023",http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""year"":2023,""query"":""?pollutant_id=5&category_ids=20,37&year=2023"",""pollutant"":""PM2.5"",""share_url"":""http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/?pollutant_id=5&category_ids=20,37&year=2023"",""categories"":[""Ecodesign Stove - Ready To Burn"",""Gas Boilers""],""category_ids"":[20,37],""pollutant_id"":5,""category_count"":2,""client_timestamp"":""2025-12-06T23:22:35.678Z""}",2025-12-06 23:22:35.678+00
27303,2025-12-06 23:22:37.61333+00,sess_miux5dao_fm5fbddv,/bubblechart,system,bubblechart_drawn,GB,"http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/bubblechart/index.html?pollutant_id=5&category_ids=20,37&year=2023",http://localhost:8080/CIC-test-uk-air-pollution-emissions-data-explorer/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","{""year"":2023,""pollutant"":""PM2.5"",""categories"":[""Ecodesign Stove - Ready To Burn"",""Gas Boilers""],""category_ids"":[20,37],""category_count"":2,""client_timestamp"":""2025-12-06T23:22:35.678Z""}",2025-12-06 23:22:35.678+00
